fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,current_rank,current_p4p,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result,next_date,next_opp
Jesus Aguilar,1996-03-13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Mexico,male,flyweight,16,16,16,16,7,4,1 KO 1 Sub 2 Dec,3,0 KO 1 Sub 2 Dec,-1,3,0,10,2640,2760,2642,2023-02-04,L - Tatsuro Taira,2026-03-07,L - Sumudaerji,2026-05-30,Rei Tsuruya
Amir Albazi,1993-10-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Iraq, Sweden",male,flyweight,7,16,2,16,7,5,1 KO 2 Sub 2 Dec,2,0 KO 0 Sub 2 Dec,-2,5,0,5.4,2906,3001,2880,2020-07-18,W - Malcolm Gordon,2026-02-07,L - Kyoji Horiguchi,NA,NA
Asu Almabayev,1994-01-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Kazakhstan,male,flyweight,8,16,7,16,7,6,0 KO 2 Sub 4 Dec,1,1 KO 0 Sub 0 Dec,2,4,1,7.1,3026,3033,2774,2023-08-05,W - Ode Osbourne,2025-11-22,W - Alex Perez,2026-06-27,Charles Johnson
Aoriqileng,1993-06-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,China,male,bantamweight,16,16,16,16,9,4,2 KO 0 Sub 2 Dec,4,1 KO 0 Sub 3 Dec,1,2,2,9.9,2722,2722,2658,2021-04-24,L - Jeff Molina,2025-10-18,W - Cody Gibson,2026-05-30,Cody Haddon
Kai Asakura,1993-10-31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Japan,male,"bantamweight, flyweight",16,16,14,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 2 Sub 0 Dec,-2,-1,0,3,2853,2987,2889,2024-12-07,L - Alexandre Pantoja,2025-08-16,L - Tim Elliott,2026-05-30,Cameron Smotherman
Daniel Barez,1988-12-10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Spain,male,flyweight,16,16,16,16,3,1,0 KO 0 Sub 1 Dec,2,0 KO 2 Sub 0 Dec,-1,1,0,12.7,2565,2631,2602,2023-07-22,L - Jafel Filho,2025-03-15,L - Andre Lima,2026-05-16,Luis Gurule
Kevin Borjas,1997-12-06,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Peru,male,flyweight,16,16,16,16,5,1,0 KO 0 Sub 1 Dec,4,2 KO 0 Sub 2 Dec,-2,1,0,8,2493,2687,2701,2023-11-11,L - Joshua Van,2026-02-28,L - Imanol Rodriguez,2026-06-20,Andre Lima
Clayton Carpenter,1996-06-09,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,flyweight,16,16,16,16,4,2,0 KO 2 Sub 0 Dec,2,0 KO 1 Sub 1 Dec,-2,2,1,10.8,2631,2811,2705,2023-02-18,W - Juancamilo Ronderos,2025-10-11,L - Jafel Filho,2026-05-09,Jose Ochoa
Edgar Chairez,1996-01-27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Mexico,male,flyweight,16,16,16,16,6,3,0 KO 2 Sub 1 Dec,2,0 KO 0 Sub 2 Dec,2,2,1,6.5,2679,2679,2591,2023-07-08,L - Tatsuro Taira,2026-02-28,W - Felipe Bunes,2026-06-06,Bruno Gustavo da Silva
DongHun Choi,1999-01-02,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,South Korea,male,flyweight,16,16,16,16,1,1,1 KO 0 Sub 0 Dec,0,0 KO 0 Sub 0 Dec,1,1,0,8,2667,2667,2396,2024-11-23,W - Kiru Sahota,2024-11-23,W - Kiru Sahota,NA,NA
